time,pv,rainfall
2001.1667,1124,NA
2001.25,631,0
2001.3333,945,0
2001.4167,1520,0
2001.5,2022,1130
2001.5833,2999,1042
2001.6667,6943,408
2001.75,34352,0
2001.8333,31924,9
2001.9167,16504,0
2002,12146,0
2002.0833,2405,0
2002.1667,5680,0
2002.25,3206,0
2002.3333,6289,0
2002.4167,6980,0
2002.5,7630,493
2002.5833,8164,6
2002.6667,8330,188
2002.75,6528,116
2002.8333,5187,0
2002.9167,3363,25
2003,3668,16
2003.0833,1658,0
2003.1667,1438,38
2003.25,1567,0
2003.3333,1645,0
2003.4167,1765,0
2003.5,1884,182
2003.5833,1834,5382
2003.6667,4603,1215
2003.75,12730,3
2003.8333,44783,0
2003.9167,36135,0
2004,31808,0
2004.0833,3046,6
2004.1667,3617,0
2004.25,2898,0
2004.3333,5137,0
2004.4167,7344,13
2004.5,12896,477
2004.5833,18093,19
2004.6667,21770,1027
2004.75,32339,405
2004.8333,23672,35
2004.9167,13725,0
2005,11587,0
2005.0833,5473,0
2005.1667,4810,0
2005.25,5234,0
2005.3333,5294,0
2005.4167,4930,6
2005.5,6261,135
2005.5833,8616,440
2005.6667,7523,214
2005.75,5727,961
2005.8333,6723,0
2005.9167,3963,0
2006,5542,0
2006.0833,1815,0
2006.1667,1784,0
2006.25,2377,0
2006.3333,2032,0
2006.4167,1824,0
2006.5,2405,NA
2006.5833,2534,NA
2006.6667,1944,NA
2006.75,5975,NA
2006.8333,4525,NA
2006.9167,6487,NA
2007,4427,NA
2007.0833,1667,0
2007.1667,1360,0
2007.25,1064,0
2007.3333,1548,0
2007.4167,1806,0
2007.5,2553,860
2007.5833,3617,1052
2007.6667,6202,3046
2007.75,10896,537
2007.8333,11408,0
2007.9167,8104,0
2008,3322,0
2008.0833,977,0
2008.1667,1300,0
2008.25,1055,0
2008.3333,1806,0
2008.4167,3322,0
2008.5,3511,986
2008.5833,4487,399
2008.6667,5018,851
2008.75,3815,1099
2008.8333,2562,0
2008.9167,2060,104
2009,1115,94
2009.0833,502,0
2009.1667,898,0
2009.25,1165,0
2009.3333,1243,0
2009.4167,1460,0
2009.5,1341,581
2009.5833,1341,1686
2009.6667,2082,1834
2009.75,2506,28
2009.8333,2248,0
2009.9167,3124,0
2010,1677,0
2010.0833,443,0
2010.1667,314,0
2010.25,433,0
2010.3333,502,0
2010.4167,898,0
2010.5,1096,534
2010.5833,1451,3184
2010.6667,2769,2277
